date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
11/16/14,2014-2015,MIAMI HEAT,11,25,84,LOSS
11/16/14,2014-2015,DENVER NUGGETS,13,34,93,LOSS
11/16/14,2014-2015,NEW YORK KNICKS,6,14,109,WIN
11/16/14,2014-2015,HOUSTON ROCKETS,7,35,69,WIN
11/16/14,2014-2015,OKLAHOMA CITY THUNDER,3,19,65,LOSS
11/17/14,2014-2015,PHOENIX SUNS,9,21,118,WIN
11/17/14,2014-2015,BOSTON CELTICS,4,10,114,LOSS
11/17/14,2014-2015,MIAMI HEAT,9,27,95,WIN
11/17/14,2014-2015,BROOKLYN NETS,9,23,83,LOSS
11/17/14,2014-2015,DALLAS MAVERICKS,10,28,107,WIN
11/17/14,2014-2015,CHARLOTTE HORNETS,10,22,80,LOSS
11/17/14,2014-2015,DENVER NUGGETS,12,31,106,WIN
11/17/14,2014-2015,CLEVELAND CAVALIERS,10,29,97,LOSS
11/17/14,2014-2015,ORLANDO MAGIC,13,26,107,WIN
11/17/14,2014-2015,DETROIT PISTONS,11,24,93,LOSS
11/17/14,2014-2015,CHICAGO BULLS,10,26,105,WIN
11/17/14,2014-2015,LOS ANGELES CLIPPERS,7,23,89,LOSS
11/17/14,2014-2015,HOUSTON ROCKETS,8,34,93,LOSS
11/17/14,2014-2015,MEMPHIS GRIZZLIES,7,17,119,WIN
11/17/14,2014-2015,NEW ORLEANS PELICANS,5,19,93,LOSS
11/17/14,2014-2015,PORTLAND TRAIL BLAZERS,7,19,102,WIN
11/17/14,2014-2015,PHILADELPHIA 76ERS,4,26,75,LOSS
11/17/14,2014-2015,SAN ANTONIO SPURS,10,26,100,WIN
11/18/14,2014-2015,LOS ANGELES LAKERS,6,17,114,WIN
11/18/14,2014-2015,ATLANTA HAWKS,9,27,109,LOSS
11/18/14,2014-2015,NEW YORK KNICKS,11,25,113,LOSS
11/18/14,2014-2015,MILWAUKEE BUCKS,9,17,117,WIN
11/18/14,2014-2015,NEW ORLEANS PELICANS,9,24,106,WIN
11/18/14,2014-2015,SACRAMENTO KINGS,4,11,100,LOSS
11/18/14,2014-2015,OKLAHOMA CITY THUNDER,8,23,81,LOSS
11/18/14,2014-2015,UTAH JAZZ,10,24,98,WIN
11/19/14,2014-2015,MILWAUKEE BUCKS,5,24,122,WIN
11/19/14,2014-2015,BROOKLYN NETS,9,31,118,LOSS
11/19/14,2014-2015,SAN ANTONIO SPURS,5,16,92,WIN
11/19/14,2014-2015,CLEVELAND CAVALIERS,7,18,90,LOSS
11/19/14,2014-2015,OKLAHOMA CITY THUNDER,10,23,100,LOSS
11/19/14,2014-2015,DENVER NUGGETS,10,29,107,WIN
11/19/14,2014-2015,PHOENIX SUNS,4,15,88,WIN
11/19/14,2014-2015,DETROIT PISTONS,7,25,86,LOSS
11/19/14,2014-2015,LOS ANGELES LAKERS,5,20,98,WIN
11/19/14,2014-2015,HOUSTON ROCKETS,15,38,92,LOSS
11/19/14,2014-2015,CHARLOTTE HORNETS,5,14,86,LOSS
11/19/14,2014-2015,INDIANA PACERS,2,15,88,WIN
11/19/14,2014-2015,NEW YORK KNICKS,9,16,99,LOSS
11/19/14,2014-2015,MINNESOTA TIMBERWOLVES,11,22,115,WIN
11/19/14,2014-2015,LOS ANGELES CLIPPERS,12,21,114,WIN
11/19/14,2014-2015,ORLANDO MAGIC,8,24,90,LOSS
11/19/14,2014-2015,BOSTON CELTICS,6,20,101,WIN
11/19/14,2014-2015,PHILADELPHIA 76ERS,7,21,90,LOSS
11/19/14,2014-2015,MEMPHIS GRIZZLIES,3,10,92,LOSS
11/19/14,2014-2015,TORONTO RAPTORS,9,26,96,WIN
11/19/14,2014-2015,DALLAS MAVERICKS,12,28,105,WIN
11/19/14,2014-2015,WASHINGTON WIZARDS,10,22,102,LOSS
11/20/14,2014-2015,LOS ANGELES CLIPPERS,13,31,110,WIN
11/20/14,2014-2015,MIAMI HEAT,6,26,93,LOSS
11/20/14,2014-2015,CHICAGO BULLS,5,19,88,LOSS
11/20/14,2014-2015,SACRAMENTO KINGS,4,6,103,WIN
11/21/14,2014-2015,DETROIT PISTONS,4,21,89,LOSS
11/21/14,2014-2015,ATLANTA HAWKS,5,24,99,WIN
11/21/14,2014-2015,ORLANDO MAGIC,4,16,105,WIN
11/21/14,2014-2015,CHARLOTTE HORNETS,7,20,100,LOSS
11/21/14,2014-2015,LOS ANGELES LAKERS,5,13,106,LOSS
11/21/14,2014-2015,DALLAS MAVERICKS,18,35,140,WIN
11/21/14,2014-2015,NEW ORLEANS PELICANS,5,16,97,LOSS
11/21/14,2014-2015,DENVER NUGGETS,11,24,117,WIN
11/21/14,2014-2015,UTAH JAZZ,6,17,88,LOSS
11/21/14,2014-2015,GOLDEN STATE WARRIORS,6,23,101,WIN
11/21/14,2014-2015,BOSTON CELTICS,9,27,100,LOSS
11/21/14,2014-2015,MEMPHIS GRIZZLIES,8,16,117,WIN
11/21/14,2014-2015,SAN ANTONIO SPURS,13,21,121,WIN
11/21/14,2014-2015,MINNESOTA TIMBERWOLVES,4,13,92,LOSS
11/21/14,2014-2015,BROOKLYN NETS,5,15,94,WIN
11/21/14,2014-2015,OKLAHOMA CITY THUNDER,4,20,92,LOSS
11/21/14,2014-2015,PHOENIX SUNS,13,31,122,WIN
11/21/14,2014-2015,PHILADELPHIA 76ERS,4,23,96,LOSS
11/21/14,2014-2015,CHICAGO BULLS,8,22,87,LOSS
11/21/14,2014-2015,PORTLAND TRAIL BLAZERS,9,16,105,WIN
11/21/14,2014-2015,MILWAUKEE BUCKS,6,20,82,LOSS
11/21/14,2014-2015,TORONTO RAPTORS,15,25,124,WIN
11/21/14,2014-2015,CLEVELAND CAVALIERS,6,27,78,LOSS
11/21/14,2014-2015,WASHINGTON WIZARDS,4,10,91,WIN
11/22/14,2014-2015,TORONTO RAPTORS,8,24,110,WIN
11/22/14,2014-2015,CLEVELAND CAVALIERS,3,16,93,LOSS
11/22/14,2014-2015,DALLAS MAVERICKS,6,35,92,LOSS
11/22/14,2014-2015,HOUSTON ROCKETS,15,46,95,WIN
11/22/14,2014-2015,PHOENIX SUNS,12,31,106,WIN
11/22/14,2014-2015,INDIANA PACERS,7,23,83,LOSS
11/22/14,2014-2015,WASHINGTON WIZARDS,8,18,111,WIN
11/22/14,2014-2015,MILWAUKEE BUCKS,5,15,100,LOSS
11/22/14,2014-2015,SACRAMENTO KINGS,8,26,113,WIN
11/22/14,2014-2015,MINNESOTA TIMBERWOLVES,6,17,101,LOSS
11/22/14,2014-2015,PHILADELPHIA 76ERS,8,26,83,LOSS
11/22/14,2014-2015,NEW YORK KNICKS,6,17,91,WIN
11/22/14,2014-2015,MIAMI HEAT,12,26,99,WIN
11/22/14,2014-2015,ORLANDO MAGIC,3,16,92,LOSS
11/22/14,2014-2015,BROOKLYN NETS,9,27,87,LOSS
11/22/14,2014-2015,SAN ANTONIO SPURS,8,21,99,WIN
11/22/14,2014-2015,NEW ORLEANS PELICANS,4,17,106,WIN
11/22/14,2014-2015,UTAH JAZZ,5,14,94,LOSS
11/23/14,2014-2015,PORTLAND TRAIL BLAZERS,7,19,94,WIN
11/23/14,2014-2015,BOSTON CELTICS,5,23,88,LOSS
11/23/14,2014-2015,DENVER NUGGETS,10,37,101,WIN
11/23/14,2014-2015,LOS ANGELES LAKERS,3,24,94,LOSS
11/23/14,2014-2015,LOS ANGELES CLIPPERS,7,25,91,LOSS
11/23/14,2014-2015,MEMPHIS GRIZZLIES,7,21,107,WIN
11/23/14,2014-2015,CHARLOTTE HORNETS,7,21,93,LOSS
11/23/14,2014-2015,MIAMI HEAT,11,23,94,WIN
11/23/14,2014-2015,GOLDEN STATE WARRIORS,7,25,91,WIN
11/23/14,2014-2015,OKLAHOMA CITY THUNDER,3,17,86,LOSS
11/24/14,2014-2015,LOS ANGELES CLIPPERS,15,32,113,WIN
11/24/14,2014-2015,CHARLOTTE HORNETS,2,20,92,LOSS
11/24/14,2014-2015,ORLANDO MAGIC,5,17,74,LOSS
11/24/14,2014-2015,CLEVELAND CAVALIERS,6,16,106,WIN
11/24/14,2014-2015,INDIANA PACERS,13,26,111,WIN
11/24/14,2014-2015,DALLAS MAVERICKS,8,24,100,LOSS
11/24/14,2014-2015,NEW YORK KNICKS,6,22,86,LOSS
11/24/14,2014-2015,HOUSTON ROCKETS,14,36,91,WIN
11/24/14,2014-2015,PORTLAND TRAIL BLAZERS,7,27,114,WIN
11/24/14,2014-2015,PHILADELPHIA 76ERS,0,8,104,LOSS
11/24/14,2014-2015,PHOENIX SUNS,14,33,100,LOSS
11/24/14,2014-2015,TORONTO RAPTORS,4,17,104,WIN
11/24/14,2014-2015,CHICAGO BULLS,9,20,97,WIN
11/24/14,2014-2015,UTAH JAZZ,3,9,95,LOSS
11/25/14,2014-2015,CHICAGO BULLS,7,21,109,LOSS
11/25/14,2014-2015,DENVER NUGGETS,8,16,114,WIN
11/25/14,2014-2015,GOLDEN STATE WARRIORS,13,28,114,WIN
11/25/14,2014-2015,MIAMI HEAT,10,23,97,LOSS
11/25/14,2014-2015,DETROIT PISTONS,7,20,86,LOSS
11/25/14,2014-2015,MILWAUKEE BUCKS,10,22,98,WIN
11/25/14,2014-2015,SACRAMENTO KINGS,5,14,99,WIN
11/25/14,2014-2015,NEW ORLEANS PELICANS,3,17,89,LOSS
11/25/14,2014-2015,ATLANTA HAWKS,7,25,106,WIN
11/25/14,2014-2015,WASHINGTON WIZARDS,9,20,102,LOSS
11/26/14,2014-2015,TORONTO RAPTORS,14,29,126,WIN
11/26/14,2014-2015,ATLANTA HAWKS,10,24,115,LOSS
11/26/14,2014-2015,PORTLAND TRAIL BLAZERS,12,27,105,WIN
11/26/14,2014-2015,CHARLOTTE HORNETS,5,15,97,LOSS
11/26/14,2014-2015,WASHINGTON WIZARDS,5,13,87,LOSS
11/26/14,2014-2015,CLEVELAND CAVALIERS,6,20,113,WIN
11/26/14,2014-2015,NEW YORK KNICKS,14,28,102,LOSS
11/26/14,2014-2015,DALLAS MAVERICKS,4,31,109,WIN
11/26/14,2014-2015,LOS ANGELES CLIPPERS,12,28,104,WIN
11/26/14,2014-2015,DETROIT PISTONS,10,27,98,LOSS
11/26/14,2014-2015,SACRAMENTO KINGS,5,16,89,LOSS
11/26/14,2014-2015,HOUSTON ROCKETS,12,35,102,WIN
11/26/14,2014-2015,MEMPHIS GRIZZLIES,5,22,99,WIN
11/26/14,2014-2015,LOS ANGELES LAKERS,8,19,93,LOSS
11/26/14,2014-2015,MILWAUKEE BUCKS,5,16,103,WIN
11/26/14,2014-2015,MINNESOTA TIMBERWOLVES,3,14,86,LOSS
11/26/14,2014-2015,UTAH JAZZ,3,16,82,LOSS
11/26/14,2014-2015,OKLAHOMA CITY THUNDER,12,26,97,WIN
11/26/14,2014-2015,GOLDEN STATE WARRIORS,12,26,111,WIN
11/26/14,2014-2015,ORLANDO MAGIC,6,20,96,LOSS
11/26/14,2014-2015,BROOKLYN NETS,8,24,99,WIN
11/26/14,2014-2015,PHILADELPHIA 76ERS,9,24,91,LOSS
11/26/14,2014-2015,DENVER NUGGETS,8,25,112,LOSS
11/26/14,2014-2015,PHOENIX SUNS,13,25,120,WIN
11/26/14,2014-2015,INDIANA PACERS,10,21,100,LOSS
11/26/14,2014-2015,SAN ANTONIO SPURS,5,15,106,WIN
11/28/14,2014-2015,NEW ORLEANS PELICANS,7,24,91,LOSS
11/28/14,2014-2015,ATLANTA HAWKS,5,17,100,WIN
11/28/14,2014-2015,CHICAGO BULLS,5,17,109,WIN
11/28/14,2014-2015,BOSTON CELTICS,6,22,102,LOSS
11/28/14,2014-2015,GOLDEN STATE WARRIORS,7,26,106,WIN
11/28/14,2014-2015,CHARLOTTE HORNETS,6,19,101,LOSS
11/28/14,2014-2015,PHOENIX SUNS,8,23,97,LOSS
11/28/14,2014-2015,DENVER NUGGETS,8,21,122,WIN
11/28/14,2014-2015,MILWAUKEE BUCKS,13,29,104,WIN
11/28/14,2014-2015,DETROIT PISTONS,6,23,88,LOSS
11/28/14,2014-2015,LOS ANGELES CLIPPERS,9,25,102,WIN
11/28/14,2014-2015,HOUSTON ROCKETS,10,37,85,LOSS
11/28/14,2014-2015,ORLANDO MAGIC,7,18,83,LOSS
11/28/14,2014-2015,INDIANA PACERS,4,16,98,WIN
11/28/14,2014-2015,MINNESOTA TIMBERWOLVES,10,18,120,WIN
11/28/14,2014-2015,LOS ANGELES LAKERS,8,21,119,LOSS
11/28/14,2014-2015,NEW YORK KNICKS,2,19,78,LOSS
11/28/14,2014-2015,OKLAHOMA CITY THUNDER,10,24,105,WIN
11/28/14,2014-2015,MEMPHIS GRIZZLIES,6,13,112,WIN
11/28/14,2014-2015,PORTLAND TRAIL BLAZERS,8,28,99,LOSS
11/28/14,2014-2015,SACRAMENTO KINGS,6,10,104,LOSS
11/28/14,2014-2015,SAN ANTONIO SPURS,12,24,112,WIN
11/28/14,2014-2015,DALLAS MAVERICKS,11,26,106,WIN
11/28/14,2014-2015,TORONTO RAPTORS,14,33,102,LOSS
11/29/14,2014-2015,CHARLOTTE HORNETS,5,23,75,LOSS
11/29/14,2014-2015,ATLANTA HAWKS,12,23,105,WIN
11/29/14,2014-2015,INDIANA PACERS,7,22,97,LOSS
11/29/14,2014-2015,CLEVELAND CAVALIERS,7,16,109,WIN
11/29/14,2014-2015,HOUSTON ROCKETS,15,38,117,WIN
11/29/14,2014-2015,MILWAUKEE BUCKS,6,19,103,LOSS
11/29/14,2014-2015,DALLAS MAVERICKS,8,30,110,WIN
11/29/14,2014-2015,PHILADELPHIA 76ERS,6,21,103,LOSS
11/29/14,2014-2015,LOS ANGELES CLIPPERS,11,28,112,WIN
11/29/14,2014-2015,UTAH JAZZ,7,21,96,LOSS
11/29/14,2014-2015,NEW ORLEANS PELICANS,6,17,80,LOSS
11/29/14,2014-2015,WASHINGTON WIZARDS,5,12,83,WIN
11/30/14,2014-2015,SAN ANTONIO SPURS,11,26,111,WIN
11/30/14,2014-2015,BOSTON CELTICS,6,18,89,LOSS
11/30/14,2014-2015,CHICAGO BULLS,7,24,102,WIN
11/30/14,2014-2015,BROOKLYN NETS,2,14,84,LOSS
11/30/14,2014-2015,GOLDEN STATE WARRIORS,9,21,104,WIN
11/30/14,2014-2015,DETROIT PISTONS,11,23,93,LOSS
11/30/14,2014-2015,TORONTO RAPTORS,9,34,122,LOSS
11/30/14,2014-2015,LOS ANGELES LAKERS,10,24,129,WIN
11/30/14,2014-2015,MIAMI HEAT,7,23,86,WIN
11/30/14,2014-2015,NEW YORK KNICKS,3,24,79,LOSS
11/30/14,2014-2015,ORLANDO MAGIC,5,15,93,WIN
11/30/14,2014-2015,PHOENIX SUNS,7,26,90,LOSS
11/30/14,2014-2015,MINNESOTA TIMBERWOLVES,2,9,93,LOSS
11/30/14,2014-2015,PORTLAND TRAIL BLAZERS,12,33,107,WIN
11/30/14,2014-2015,MEMPHIS GRIZZLIES,3,13,97,WIN
11/30/14,2014-2015,SACRAMENTO KINGS,1,11,85,LOSS
12/1/14,2014-2015,MINNESOTA TIMBERWOLVES,2,12,101,LOSS
12/1/14,2014-2015,LOS ANGELES CLIPPERS,15,34,127,WIN
12/1/14,2014-2015,SAN ANTONIO SPURS,9,26,109,WIN
12/1/14,2014-2015,PHILADELPHIA 76ERS,12,29,103,LOSS
12/1/14,2014-2015,DENVER NUGGETS,9,26,103,WIN
12/1/14,2014-2015,UTAH JAZZ,7,18,101,LOSS
12/1/14,2014-2015,MIAMI HEAT,2,22,86,LOSS
12/1/14,2014-2015,WASHINGTON WIZARDS,10,19,107,WIN
12/2/14,2014-2015,BOSTON CELTICS,12,23,105,LOSS
12/2/14,2014-2015,ATLANTA HAWKS,11,24,109,WIN
12/2/14,2014-2015,DALLAS MAVERICKS,15,30,132,WIN
12/2/14,2014-2015,CHICAGO BULLS,8,26,129,LOSS
12/2/14,2014-2015,MILWAUKEE BUCKS,7,20,108,LOSS
12/2/14,2014-2015,CLEVELAND CAVALIERS,6,21,111,WIN
12/2/14,2014-2015,PORTLAND TRAIL BLAZERS,5,22,105,WIN
12/2/14,2014-2015,DENVER NUGGETS,7,20,103,LOSS
12/2/14,2014-2015,LOS ANGELES LAKERS,10,17,106,WIN
12/2/14,2014-2015,DETROIT PISTONS,6,21,96,LOSS
12/2/14,2014-2015,ORLANDO MAGIC,6,17,97,LOSS
12/2/14,2014-2015,GOLDEN STATE WARRIORS,8,27,98,WIN
12/2/14,2014-2015,OKLAHOMA CITY THUNDER,7,24,104,LOSS
12/2/14,2014-2015,NEW ORLEANS PELICANS,5,17,112,WIN
12/2/14,2014-2015,BROOKLYN NETS,6,17,98,WIN
12/2/14,2014-2015,NEW YORK KNICKS,11,28,93,LOSS
12/2/14,2014-2015,INDIANA PACERS,4,13,99,LOSS
12/2/14,2014-2015,PHOENIX SUNS,12,25,116,WIN
12/2/14,2014-2015,TORONTO RAPTORS,10,23,117,WIN
12/2/14,2014-2015,SACRAMENTO KINGS,3,10,109,LOSS
12/3/14,2014-2015,DETROIT PISTONS,8,27,102,LOSS
12/3/14,2014-2015,BOSTON CELTICS,13,30,109,WIN
12/3/14,2014-2015,SAN ANTONIO SPURS,12,32,93,LOSS
12/3/14,2014-2015,BROOKLYN NETS,9,19,95,WIN
12/3/14,2014-2015,CHICAGO BULLS,12,28,102,WIN
12/3/14,2014-2015,CHARLOTTE HORNETS,2,15,95,LOSS
12/3/14,2014-2015,MEMPHIS GRIZZLIES,2,13,96,LOSS
12/3/14,2014-2015,HOUSTON ROCKETS,10,28,105,WIN
12/3/14,2014-2015,ORLANDO MAGIC,7,20,86,LOSS
12/3/14,2014-2015,LOS ANGELES CLIPPERS,12,31,114,WIN
12/3/14,2014-2015,ATLANTA HAWKS,12,25,112,WIN
12/3/14,2014-2015,MIAMI HEAT,6,16,102,LOSS
12/3/14,2014-2015,DALLAS MAVERICKS,8,27,107,WIN
12/3/14,2014-2015,MILWAUKEE BUCKS,7,11,105,LOSS
12/3/14,2014-2015,PHILADELPHIA 76ERS,5,24,85,WIN
12/3/14,2014-2015,MINNESOTA TIMBERWOLVES,3,17,77,LOSS
12/3/14,2014-2015,TORONTO RAPTORS,12,21,123,WIN
12/3/14,2014-2015,UTAH JAZZ,8,28,104,LOSS
12/3/14,2014-2015,LOS ANGELES LAKERS,12,29,95,LOSS
12/3/14,2014-2015,WASHINGTON WIZARDS,6,19,111,WIN
12/4/14,2014-2015,NEW ORLEANS PELICANS,3,15,85,LOSS
12/4/14,2014-2015,GOLDEN STATE WARRIORS,10,22,112,WIN
12/4/14,2014-2015,CLEVELAND CAVALIERS,5,18,90,WIN
12/4/14,2014-2015,NEW YORK KNICKS,8,26,87,LOSS
12/4/14,2014-2015,INDIANA PACERS,5,18,82,LOSS
12/4/14,2014-2015,PORTLAND TRAIL BLAZERS,4,21,88,WIN
12/5/14,2014-2015,LOS ANGELES LAKERS,6,16,96,LOSS
12/5/14,2014-2015,BOSTON CELTICS,8,20,113,WIN
12/5/14,2014-2015,ATLANTA HAWKS,13,34,98,WIN
12/5/14,2014-2015,BROOKLYN NETS,3,18,75,LOSS
12/5/14,2014-2015,NEW YORK KNICKS,10,22,102,LOSS
12/5/14,2014-2015,CHARLOTTE HORNETS,4,18,103,WIN
12/5/14,2014-2015,PHOENIX SUNS,13,26,118,WIN
12/5/14,2014-2015,DALLAS MAVERICKS,4,19,106,LOSS
12/5/14,2014-2015,SAN ANTONIO SPURS,14,25,107,WIN
12/5/14,2014-2015,MEMPHIS GRIZZLIES,5,12,101,LOSS
12/5/14,2014-2015,MIAMI HEAT,7,18,85,LOSS
12/5/14,2014-2015,MILWAUKEE BUCKS,9,16,109,WIN
12/5/14,2014-2015,HOUSTON ROCKETS,12,32,114,WIN
12/5/14,2014-2015,MINNESOTA TIMBERWOLVES,3,10,112,LOSS
12/5/14,2014-2015,OKLAHOMA CITY THUNDER,9,23,103,WIN
12/5/14,2014-2015,PHILADELPHIA 76ERS,8,28,91,LOSS
12/5/14,2014-2015,INDIANA PACERS,6,26,101,LOSS
12/5/14,2014-2015,SACRAMENTO KINGS,2,10,102,WIN
12/5/14,2014-2015,CLEVELAND CAVALIERS,9,20,105,WIN
12/5/14,2014-2015,TORONTO RAPTORS,8,24,91,LOSS
12/5/14,2014-2015,ORLANDO MAGIC,7,17,98,WIN
12/5/14,2014-2015,UTAH JAZZ,8,16,93,LOSS
12/5/14,2014-2015,DENVER NUGGETS,5,22,89,LOSS
12/5/14,2014-2015,WASHINGTON WIZARDS,7,20,119,WIN
12/6/14,2014-2015,GOLDEN STATE WARRIORS,12,30,112,WIN
12/6/14,2014-2015,CHICAGO BULLS,7,21,102,LOSS
12/6/14,2014-2015,PHILADELPHIA 76ERS,7,23,108,WIN
12/6/14,2014-2015,DETROIT PISTONS,6,23,101,LOSS
12/6/14,2014-2015,PHOENIX SUNS,7,28,95,LOSS
12/6/14,2014-2015,HOUSTON ROCKETS,11,27,100,WIN
12/6/14,2014-2015,NEW ORLEANS PELICANS,8,23,100,LOSS
12/6/14,2014-2015,LOS ANGELES CLIPPERS,17,32,120,WIN
12/6/14,2014-2015,ORLANDO MAGIC,9,26,105,WIN
12/6/14,2014-2015,SACRAMENTO KINGS,4,15,96,LOSS
12/6/14,2014-2015,MINNESOTA TIMBERWOLVES,6,16,101,LOSS
12/6/14,2014-2015,SAN ANTONIO SPURS,7,18,123,WIN
12/7/14,2014-2015,DENVER NUGGETS,6,35,84,LOSS
12/7/14,2014-2015,ATLANTA HAWKS,10,27,96,WIN
12/7/14,2014-2015,WASHINGTON WIZARDS,11,27,93,LOSS
12/7/14,2014-2015,BOSTON CELTICS,8,17,101,WIN
12/7/14,2014-2015,MILWAUKEE BUCKS,4,15,102,LOSS
12/7/14,2014-2015,DALLAS MAVERICKS,12,31,125,WIN
12/7/14,2014-2015,OKLAHOMA CITY THUNDER,6,21,96,WIN
12/7/14,2014-2015,DETROIT PISTONS,7,23,94,LOSS
12/7/14,2014-2015,NEW ORLEANS PELICANS,8,18,104,WIN
12/7/14,2014-2015,LOS ANGELES LAKERS,5,19,87,LOSS
12/7/14,2014-2015,MIAMI HEAT,5,16,87,LOSS
12/7/14,2014-2015,MEMPHIS GRIZZLIES,8,13,103,WIN
12/7/14,2014-2015,PORTLAND TRAIL BLAZERS,10,28,103,WIN
12/7/14,2014-2015,NEW YORK KNICKS,5,19,99,LOSS
12/8/14,2014-2015,CLEVELAND CAVALIERS,9,25,110,WIN
12/8/14,2014-2015,BROOKLYN NETS,4,19,88,LOSS
12/8/14,2014-2015,ATLANTA HAWKS,9,21,108,WIN
12/8/14,2014-2015,INDIANA PACERS,9,27,92,LOSS
12/8/14,2014-2015,PHOENIX SUNS,16,37,120,LOSS
12/8/14,2014-2015,LOS ANGELES CLIPPERS,9,31,121,WIN
12/8/14,2014-2015,GOLDEN STATE WARRIORS,5,22,102,WIN
12/8/14,2014-2015,MINNESOTA TIMBERWOLVES,2,11,86,LOSS
12/8/14,2014-2015,UTAH JAZZ,3,17,92,LOSS
12/8/14,2014-2015,SACRAMENTO KINGS,3,8,101,WIN
12/8/14,2014-2015,DENVER NUGGETS,10,30,107,LOSS
12/8/14,2014-2015,TORONTO RAPTORS,9,33,112,WIN
12/8/14,2014-2015,BOSTON CELTICS,9,22,132,LOSS
12/8/14,2014-2015,WASHINGTON WIZARDS,7,16,133,WIN
12/9/14,2014-2015,TORONTO RAPTORS,7,23,101,LOSS
12/9/14,2014-2015,CLEVELAND CAVALIERS,9,26,105,WIN
12/9/14,2014-2015,PORTLAND TRAIL BLAZERS,9,21,98,WIN
12/9/14,2014-2015,DETROIT PISTONS,5,22,86,LOSS
12/9/14,2014-2015,SACRAMENTO KINGS,7,15,95,LOSS
12/9/14,2014-2015,LOS ANGELES LAKERS,5,25,98,WIN
12/9/14,2014-2015,DALLAS MAVERICKS,18,40,105,LOSS
12/9/14,2014-2015,MEMPHIS GRIZZLIES,7,14,114,WIN
12/9/14,2014-2015,NEW YORK KNICKS,9,19,93,LOSS
12/9/14,2014-2015,NEW ORLEANS PELICANS,4,15,104,WIN
12/9/14,2014-2015,MILWAUKEE BUCKS,4,21,101,LOSS
12/9/14,2014-2015,OKLAHOMA CITY THUNDER,4,21,114,WIN
12/9/14,2014-2015,MIAMI HEAT,9,17,103,WIN
12/9/14,2014-2015,PHOENIX SUNS,17,35,97,LOSS
12/9/14,2014-2015,SAN ANTONIO SPURS,4,20,96,LOSS
12/9/14,2014-2015,UTAH JAZZ,4,14,100,WIN
12/10/14,2014-2015,PHILADELPHIA 76ERS,6,25,79,LOSS
12/10/14,2014-2015,ATLANTA HAWKS,10,30,95,WIN
12/10/14,2014-2015,BROOKLYN NETS,3,14,80,LOSS
12/10/14,2014-2015,CHICAGO BULLS,8,22,105,WIN
12/10/14,2014-2015,BOSTON CELTICS,5,23,87,LOSS
12/10/14,2014-2015,CHARLOTTE HORNETS,3,14,96,WIN
12/10/14,2014-2015,NEW ORLEANS PELICANS,7,18,107,LOSS
12/10/14,2014-2015,DALLAS MAVERICKS,9,21,112,WIN
12/10/14,2014-2015,MIAMI HEAT,7,22,82,LOSS
12/10/14,2014-2015,DENVER NUGGETS,8,23,102,WIN
12/10/14,2014-2015,HOUSTON ROCKETS,9,35,93,LOSS
12/10/14,2014-2015,GOLDEN STATE WARRIORS,8,23,105,WIN
12/10/14,2014-2015,LOS ANGELES CLIPPERS,7,24,103,WIN
12/10/14,2014-2015,INDIANA PACERS,9,27,96,LOSS
12/10/14,2014-2015,PORTLAND TRAIL BLAZERS,10,35,82,LOSS
12/10/14,2014-2015,MINNESOTA TIMBERWOLVES,1,12,90,WIN
12/10/14,2014-2015,WASHINGTON WIZARDS,5,12,91,WIN
12/10/14,2014-2015,ORLANDO MAGIC,7,15,89,LOSS
12/10/14,2014-2015,NEW YORK KNICKS,6,15,95,LOSS
12/10/14,2014-2015,SAN ANTONIO SPURS,10,19,109,WIN
12/11/14,2014-2015,CLEVELAND CAVALIERS,9,28,94,LOSS
12/11/14,2014-2015,OKLAHOMA CITY THUNDER,7,26,103,WIN
12/11/14,2014-2015,HOUSTON ROCKETS,15,44,113,WIN
12/11/14,2014-2015,SACRAMENTO KINGS,8,18,109,LOSS
12/12/14,2014-2015,ORLANDO MAGIC,9,26,81,LOSS
12/12/14,2014-2015,ATLANTA HAWKS,9,29,87,WIN
12/12/14,2014-2015,NEW YORK KNICKS,6,16,101,WIN
12/12/14,2014-2015,BOSTON CELTICS,7,22,95,LOSS
12/12/14,2014-2015,PHILADELPHIA 76ERS,11,28,70,LOSS
12/12/14,2014-2015,BROOKLYN NETS,5,20,88,WIN
12/12/14,2014-2015,PORTLAND TRAIL BLAZERS,12,24,106,LOSS
12/12/14,2014-2015,CHICAGO BULLS,5,15,115,WIN
12/12/14,2014-2015,CHARLOTTE HORNETS,6,17,107,LOSS
12/12/14,2014-2015,MEMPHIS GRIZZLIES,6,13,113,WIN
12/12/14,2014-2015,OKLAHOMA CITY THUNDER,6,24,111,WIN
12/12/14,2014-2015,MINNESOTA TIMBERWOLVES,1,7,92,LOSS
12/12/14,2014-2015,CLEVELAND CAVALIERS,8,22,114,LOSS
12/12/14,2014-2015,NEW ORLEANS PELICANS,12,28,119,WIN
12/12/14,2014-2015,DETROIT PISTONS,4,15,105,WIN
12/12/14,2014-2015,PHOENIX SUNS,10,31,103,LOSS
12/12/14,2014-2015,LOS ANGELES LAKERS,12,24,112,WIN
12/12/14,2014-2015,SAN ANTONIO SPURS,12,31,110,LOSS
12/12/14,2014-2015,INDIANA PACERS,8,22,94,LOSS
12/12/14,2014-2015,TORONTO RAPTORS,10,26,106,WIN
12/12/14,2014-2015,MIAMI HEAT,7,20,100,WIN
